Metric,Threshold,Model,Public-Baseline,,,,,Average,Std Dev
,,,run1,run2,run3,run4,run5,,

METHOD: ,,,,,,,,,
Completeness,no,O4Mini,94.65,93.16,93.91,94.13,93.17,93.8,0.64
Correctness,no,O4Mini,83.56,83.46,82.72,82.78,82.67,83.04,0.43
Completeness,no,gpt41mini,74.61,71.73,71.57,70.75,70.96,71.92,1.56
Correctness,no,gpt41mini,65.32,64.88,63.18,63.23,62.36,63.79,1.25
Completeness,no,local,73.35,67.86,71.29,71.30,65.42,69.84,3.16
Correctness,no,local,69.91,68.13,70.19,68.17,64.07,68.09,2.44

METHOD: structural_constraints,,,,,,,,,
